N,beta,lambda,theta,Adoption_Rate
159,0.5356337621894371,0.2823547037506923,0.4978207249091895,0.03773584905660377
329,0.3517529503778378,0.4159285960782004,0.2756685490460095,0.6261398176291794
134,0.6371063598601909,0.9111656404356829,0.3221038594098481,0.9925373134328358
358,0.7513846748963217,0.7855983265716615,0.48678987899442255,1.0
389,0.5698139276866862,0.438846631468808,0.30115104875274357,0.9794344473007712
199,0.020667765873985403,0.3127289216844148,0.24720899649586814,0.16080402010050251
374,0.9984793850949065,0.6213537421583826,0.4748631132319149,1.0
221,0.14310118005279332,0.8144940456569701,0.4626015320861431,0.4117647058823529
188,0.8564807835466026,0.6525815952244077,0.22440790200286162,1.0
179,0.5197210552638599,0.85760227071054,0.5729068312666171,0.9888268156424581
258,0.40755720159329817,0.9242166788906074,0.4927738542456811,0.9612403100775194
252,0.5405877784570562,0.16103532516382676,0.274098974675218,0.9166666666666666
231,0.7957831837218022,0.20937571716816322,0.5781019929070281,0.017316017316017316
379,0.7994933526828748,0.12730339547948175,0.4288102217780564,0.06596306068601583
347,0.776806709406618,0.4598453359521277,0.4152670935202001,0.9971181556195965
370,0.7463195608895068,0.5971465929181157,0.4163593785705749,0.9972972972972973
321,0.8863001609323594,0.6909436940566764,0.4584251559435543,1.0
153,0.7387756453966222,0.17801105724359742,0.5518483479883605,0.032679738562091505
107,0.365359847766677,0.8276695098305542,0.5616206753374313,0.8878504672897196
244,0.9870162772286961,0.25346068630983376,0.39755031809654245,1.0
217,0.48120010264499946,0.8920779657447966,0.3807282096252884,0.9907834101382489
125,0.7102340010876903,0.04123156757346523,0.5329316336554644,0.0
280,0.48827308769450495,0.9519350616975534,0.2603239988278821,0.9928571428571429
286,0.34858577167112126,0.9663944368035322,0.5199053668965035,0.965034965034965
120,0.13212773500534297,0.6397030788896835,0.3282440697982828,0.3416666666666667
367,0.04922103801710352,0.7244853909260975,0.36572132382078837,0.30517711171662126
309,0.8772117953971953,0.37148936326450166,0.5022742451192339,0.9935275080906149
212,0.5476359187770012,0.2386267477356749,0.26499261448501493,0.9481132075471698
237,0.9720373471176414,0.35799396263328725,0.25044808036221133,1.0
377,0.1896916956566333,0.465374273126757,0.2886646598728049,0.30238726790450926
393,0.823048073425353,0.9993402787410947,0.23932560186821686,1.0
252,0.8711406967246522,0.3099229592786501,0.40267336190979364,0.996031746031746
392,0.7297840267798616,0.32679224243330557,0.23148399963007252,0.9974489795918368
194,0.5129150796520716,0.5110084727228015,0.3124287379030322,0.9639175257731959
339,0.4493570043988836,0.7673223810371071,0.4684914687502424,0.9587020648967551
295,0.4336663516066053,0.35986073082050796,0.5919633498363248,0.04406779661016949
239,0.06041425263209458,0.02084711720826131,0.5827478987422765,0.0
314,0.04670615562593492,0.13416959434223158,0.22532449758800074,0.16560509554140126
256,0.5894215926286012,0.9210267520223794,0.5791492497092505,0.99609375
164,0.17453576066646953,0.9708828545758837,0.3882229765877573,0.7439024390243902
289,0.8600311574598625,0.5528889531961337,0.44988308576194946,0.9965397923875432
213,0.2783521696573247,0.8060172676317781,0.594349214149799,0.6854460093896714
326,0.7581804734760176,0.45085220438953033,0.3515154464711509,1.0
190,0.39893715960899245,0.8346515014251404,0.456109654314399,0.9526315789473684
155,0.007872065905813772,0.33678377135738347,0.444535599939197,0.07096774193548387
311,0.46176994812736044,0.8475089190594809,0.2115127217130288,0.9839228295819936
299,0.6276432713815019,0.27051829899317414,0.49657979166230776,0.06354515050167224
224,0.7245120272193526,0.8364311472614548,0.4523719669531072,1.0
383,0.23569443224902417,0.07692746627637113,0.3338147865370071,0.06527415143603134
140,0.2275424840559573,0.48284035417410487,0.5552802385221871,0.09285714285714286
304,0.6955326060463987,0.3476504594827942,0.4276753203045273,0.9802631578947368
137,0.39664331226563393,0.5458451389235428,0.20413231664495984,0.9416058394160584
130,0.8085442974092139,0.79145107472154,0.4888090105961847,1.0
355,0.9234052771392011,0.6272233817998766,0.4101906749877639,1.0
247,0.9130956734089817,0.37556591757026164,0.34563256814429705,1.0
118,0.9024329371456912,0.2291963733377845,0.43763867732172823,0.9915254237288136
150,0.5240249341459998,0.29668078522354485,0.3045150061177287,0.92
264,0.31948517653319725,0.9832785968979382,0.2705652677521366,0.9621212121212122
329,0.26878091755285644,0.7973982560812484,0.46936137213870943,0.7112462006079028
157,0.4391815355527173,0.5936106501251798,0.4434089250101071,0.8407643312101911
184,0.25939986649745966,0.7325574942033872,0.435841345029378,0.5760869565217391
344,0.1963457894236249,0.057788225333291206,0.33933571384601974,0.061046511627906974
103,0.668547796200207,0.6667817888626565,0.291039091775774,1.0
105,0.31056375341444253,0.2247135752890814,0.29454370537423924,0.1523809523809524
180,0.6476150150011396,0.10885500893003767,0.30751739480076107,0.9611111111111111
303,0.07168231101205984,0.5210130103599682,0.31517540020946516,0.2079207920792079
142,0.17058178341613064,0.4352756243567349,0.5307699581400248,0.056338028169014086
261,0.47639728112237156,0.9448797233659042,0.36195424540332544,0.9961685823754789
324,0.948506688936633,0.0024944177593788563,0.2550199048223999,1.0
216,0.7851208887732638,0.19628902388879213,0.3348402136661806,0.9907407407407407
149,0.8501445436750271,0.05283793069449691,0.21797066382552435,1.0
361,0.2936229497991938,0.11680270218806567,0.2988324558173138,0.14127423822714683
384,0.03826818825856472,0.6731761050485269,0.35608761916729653,0.24479166666666666
386,0.4992256785814072,0.5793470706906425,0.4065542089252262,0.9481865284974094
306,0.10310917281036255,0.03297283171272399,0.3198672397625139,0.0718954248366013
114,0.6161363108717723,0.9333119684691591,0.26714305353065493,1.0
397,0.5745093799563007,0.700116488311716,0.5667513647773841,0.9874055415617129
263,0.6629705592894222,0.3868915837966895,0.258072220723141,0.9961977186311787
127,0.20806631398347555,0.5596375589857324,0.5646015763612108,0.08661417322834646
342,0.3774551301136254,0.41174315254241184,0.20015981897901458,0.8625730994152047
247,0.6915553872789056,0.7630596780859009,0.4608267662817812,1.0
297,0.8386516614018742,0.7124656888441635,0.5889602428872945,1.0
372,0.18524878426419952,0.08019614716945085,0.24624248564648213,0.15053763440860216
208,0.938588132278704,0.18646794658358168,0.5168300633108065,0.057692307692307696
350,0.3693303466541295,0.8821523967279412,0.5095751880540604,0.9485714285714286
338,0.9534462480788353,0.14218059237433517,0.38251974373604264,1.0
182,0.2516006653204446,0.0941716635717396,0.47733317701925254,0.02197802197802198
234,0.6086324281440281,0.9873737054685615,0.42446471467471003,0.9957264957264957
269,0.21427788660911054,0.5744844909923341,0.3764917757015215,0.2899628252788104
356,0.02500590065224948,0.33209255300331697,0.3481262704952418,0.10674157303370786
280,0.600627081339835,0.6631476283914054,0.3966009093377788,0.9857142857142858
161,0.33266712265007514,0.06426311393639185,0.21977740183341066,0.2732919254658385
277,0.680481511348738,0.40029271760101054,0.5866545783096557,0.09025270758122744
110,0.0991059376546542,0.6081436589951172,0.5495381769608056,0.14545454545454545
362,0.11376637470938473,0.6845053138845515,0.5383447321603831,0.19337016574585636
131,0.4223739063528245,0.24390389457883288,0.4328769701121108,0.06870229007633588
167,0.0001044410552787341,0.010017498156221535,0.556402516687488,0.0
139,0.766792705631322,0.1668978602813187,0.34336899475520277,0.9784172661870504
201,0.15088987214761368,0.7499038852664953,0.3579552563692445,0.4228855721393035
266,0.09144250761449929,0.19173009311094882,0.28611776835291286,0.12406015037593984
122,0.6178246726912847,0.7360836403481913,0.5465294112156371,0.9754098360655737
334,0.8290687498100957,0.47434446532918717,0.22863469818855958,1.0
334,0.91406949429317,0.21354933799916767,0.5354683593263787,0.1347305389221557
397,0.06330442657112012,0.09352344138121509,0.2836224123186214,0.10327455919395466
291,0.24393150046334205,0.7797015294748992,0.206529255540216,0.8178694158075601
112,0.2887799788242602,0.12495757942086953,0.57171356900933,0.0
